Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
The Dickerson Corporation,Oilfield Construction / Pipeline / Civil,Local / Regional,Medium,City-level office/camp; exact street address pending,Ripley,WV,Needs direct confirmation,,38.818700,-81.710700,City corrected; exact address verification pending,Medium,Location corrected from user-confirmed information 2026-06-22,User-confirmed location; public source/direct call pending,Construction contractor location corrected from erroneous Pittsburgh placeholder; verify exact address and oil and gas field services.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,40.4406,-79.9959,,Location corrected from Pittsburgh PA to Ripley WV 2026-06-22,City centroid / physical address needed,38.818700|-81.710700,1,Single marker; tooltip opens on hover
"Torpedo Services, Inc. / Torpedo Well Service",Oil Well Shooting / Workover / Specialty Well Service,Local / Regional,Medium,165 Country Club Rd,Beattyville,KY,606-464-9696,,37.571753,-83.706860,Address identified; city-level geocode used until address-level verification,Medium,Directory/bankruptcy-source verified address; current operating status must be direct-call verified,https://b3-assets.dandb.com/businessdirectory/torpedoservicesinc-beattyville-ky-26300699.html ; https://www.bkalerts.com/recent-bankruptcy-cases/kentucky-eastern-bankruptcy-court/5%3A22-bk-50436/bankruptcy-case-torpedo-services-inc ; https://www.topozone.com/kentucky/lee-ky/city/beattyville/,"Corrected from Pittsburgh, PA to Beattyville, KY. Public directory/bankruptcy records identify Torpedo Services, Inc. at 165 Country Club Rd, Beattyville, KY. Current active-service status and service scope should be confirmed before vendor outreach.",Oilfield-specific: oil/gas well shooting and well-service specialty lead; current operating status requires verification,Local office / historical operating address,V2.18 user correction / source cleanup,37.571753,-83.706860,,Location corrected from PA to KY,Physical address identified / city-level geocode,37.571753|-83.706860,1,Single marker; tooltip opens on hover
Fox Oil Drilling Company,Drilling Contractor,Regional / Appalachian,Medium,1802 Woodland Ave,Punxsutawney,PA,814-938-8531 / 304-473-0184,https://www.foxoildrilling.com/,40.943700,-78.970900,City-level geocode; address ready,Medium,Company source verified,https://www.foxoildrilling.com/oil-rigs.html,Oil drilling contractor serving Pennsylvania and West Virginia divisions; qualify rig availability and oilfield fit for Appalachian operations.,Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,40.9437,-78.9709,,,City centroid / physical address needed,40.943700|-78.970900,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Keystone Drill Services - Punxsutawney,Drilling Equipment / Parts / Service,Regional / Appalachian,Medium,12655 Route 536,Punxsutawney,PA,800-626-2298,https://www.keystonedrill.com/,40.943700,-78.970900,City-level geocode; address ready,Medium,Company source verified,https://www.keystonedrill.com/,Appalachian drilling equipment branch; oil & gas equipment fit to qualify by direct call.,Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,40.9437,-78.9709,,,City centroid / physical address needed,40.943700|-78.970900,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
"DTA, L.P. - Saxonburg / Don Martin Trucking",Water Hauling / Bulk Liquids,Regional / Appalachia,Medium,415 Saxonburg Blvd,Saxonburg,PA,724-368-8040,https://www.dtalp.com/,40.753100,-79.810300,City-level geocode; address ready,Medium,FMCSA/company source; direct call recommended,https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=757900&query_type=queryCarrierSnapshot&searchtype=ANY,FMCSA listing identifies DTA/Don Martin Trucking physical address and trucking fleet; oilfield fit tied to DTA oil and gas page.,Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,40.7531,-79.8103,,,City centroid / physical address needed,40.753100|-79.810300,1,Single marker; tooltip opens on hover
Kingsly Compression - Sales & Engineering,Compression / Gas Services,Regional / Appalachia,High,City-level; exact address pending,Saxonburg,PA,724-524-1840,https://www.kingslycompression.com/,40.753700,-79.811400,City-level geocode; exact office pending,Medium,Company source / direct call recommended,https://www.kingslycompression.com/contact/cambridge-ohio/,Sales/engineering support for natural gas compressor packages and field service.,Confirmed oilfield gas compression,Regional engineering/sales,Existing V2.7 record,40.7537,-79.8114,,,City centroid / physical address needed,40.753700|-79.811400,1,Single marker; tooltip opens on hover
West Penn Energy Services,Pipeline Construction / Rig Moving / Heavy Haul,Regional / Appalachian,High,865 PA-210,Shelocta,PA,(724) 354-4118,http://www.wpes-pa.com/,40.68958070000001,-79.3388666,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://wpes-pa.com/ ; https://wpes-pa.com/news/ ; https://maps.google.com/?cid=14914753874106770096 ; http://www.wpes-pa.com/,"Full-service pipeline construction for oil and natural gas industry in PA, OH and WV ; source notes rig moving and oilfield equipment hauling in Appalachia. ; Google Places profile matched West Penn Energy Services LLC; 865 PA-210, Shelocta, PA 15774, USA; (724) 354-4118; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.6567,-79.302,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.68958070000001|-79.3388666,1,Single marker; tooltip opens on click
Calfrac Well Services - Appalachian Lead,Frac / Coiled Tubing / Cementing,National / Major,Standard,Fayette County / SW PA lead; verify current status,Smithfield,PA,Needs direct confirmation,https://calfrac.com/,39.800100,-79.807000,Ready after exact address verification,Medium,Current status requires verification,https://calfrac.com/,Appalachian lead row; verify after reported PA office changes before relying on local mobilization.,Confirmed oilfield services fit; branch status pending,Office / camp / service lead,V2.14 User requested service-category expansion,39.8001,-79.807,,,City centroid / physical address needed,39.800100|-79.807000,1,Single marker; tooltip opens on hover
Keystone Drill Services,Drilling Equipment / Parts / Service,Regional / Appalachian,Medium,184 Alisa St,Somerset,PA,(814) 443-2670,https://www.keystonedrill.com/,40.0317409,-79.084808,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.keystonedrill.com/ ; https://maps.google.com/?cid=403246005190205544,"Drilling equipment, parts and service for water well, exploration, mining, aggregate and oil & gas ; locations include Somerset/Punxsutawney PA and Norwich OH. ; Google Places profile matched Keystone Drill Services; 184 Alisa St, Somerset, PA 15501, USA; (814) 443-2670; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.0084,-79.0781,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.0317409|-79.084808,1,Single marker; tooltip opens on click
E&H Manufacturing / PSC Product Line,Production Equipment / Tanks / Meter Skids,Regional / Appalachia,High,PSC distribution support,Waynesburg,PA,724-627-6800,https://p-s-c.com/psc_products/eh-manufacturing/,39.896500,-80.187300,City-level geocode,Medium,Distributor source verified,https://p-s-c.com/psc_products/eh-manufacturing/,"PSC-distributed E&H line for tanks, ASME vessels, separators/drips, pump jacks and production equipment.",Confirmed oilfield production equipment,Distributor / product line,Existing V2.7 record,39.8965,-80.1873,,,City centroid / physical address needed,39.896500|-80.187300,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Kimray Store / Distributor Placeholder - Appalachia,Valves / Regulators / Controls,Regional / Appalachia,High,Branch extraction pending,Waynesburg,PA,Needs direct confirmation,https://kimray.com/,39.896500,-80.187300,City-level placeholder,High,Store/distributor extraction pending,https://kimray.com/,Placeholder for Kimray distributor footprint supporting Appalachian production equipment.,Confirmed oilfield production control equipment,Branch placeholder,Existing V2.7 record,39.8965,-80.1873,,,City centroid / physical address needed,39.896500|-80.187300,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Producers Supply Company,Oilfield Supply,Regional / Multi-basin,High,121 Kiwi Rd,Waynesburg,PA,(724) 627-6800,https://www.p-s-c.com/,39.8981191,-80.1319334,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://p-s-c.com/ ; https://visitgreene.org/explore/879/producers-supply-co/ ; https://maps.google.com/?cid=12209271199434633847 ; https://www.p-s-c.com/,"Appalachian-rooted independent oilfield supply company with multi-basin presence ; useful benchmark for local/vendor supply layer. ; Google Places profile matched Producers Supply Company; 121 Kiwi Rd, Waynesburg, PA 15370, USA; (724) 627-6800; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,39.8965,-80.1873,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,39.8981191|-80.1319334,1,Single marker; tooltip opens on click
West Penn Energy Services,Pipeline Contractor,Regional,Medium,Regional service provider,Western Pennsylvania,PA,Needs direct confirmation,https://wpes-pa.com/,40.440600,-79.995900,City-level/regional geocode,Medium,Company source verified; address/contact needs direct call,https://wpes-pa.com/,Pipeline contractor focused on Appalachian oil and natural gas industry.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,40.4406,-79.9959,,,City centroid / physical address needed,40.440600|-79.995900,5,Stacked at city/coordinate; expands on hover; tooltip opens on hover
"Toy Pipeline Contractors, Inc.",Pipeline Contractor / Vacuum Truck,Local / Regional,High,870 Claypoole Rd,Worthington,PA,(724) 297-3464,https://www.toypci.com/,40.8337349,-79.62377710000001,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.paoilgasbuyersguide.com/listings.php?cat=Professional+Services&scat=Brine+Hauling+%26+Disposal ; https://maps.google.com/?cid=9640172663519666270 ; https://www.toypci.com/,"PA buyer's guide lists Toy Pipeline under brine hauling/disposal and notes pipeline, excavation and vacuum truck services. ; Google Places profile matched Toy Pipeline Contractors Inc; 870 Claypoole Rd, Worthington, PA 16262, USA; (724) 297-3464; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.837,-79.6311,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.8337349|-79.62377710000001,1,Single marker; tooltip opens on click
Deep Well Services,Snubbing / Hydraulic Workover / Completions,Regional / Multi-basin,High,719 W New Castle St,Zelienople,PA,(724) 473-0687,https://deepwellservices.com/,40.7948919,-80.1491391,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://deepwellservices.com/ ; https://maps.google.com/?cid=14165637878651684946,"Appalachian-rooted hydraulic completion and workover services ; strong candidate for snubbing/hydraulic workover support. ; Google Places profile matched Deep Well Services; 719 W New Castle St, Zelienople, PA 16063, USA; (724) 473-0687; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.794,-80.1367,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.7948919|-80.1491391,1,Single marker; tooltip opens on click
